Fecha,ID,Nombre,Hora Entrada,Hora Salida,Horas Trabajadas,Horas Extras,Ausente
2023-04-27,009,Donal Trump,08:15,17:30,7.8,0.0,No
2023-05-31,012,Megan Fox,09:00,18:30,7.2,0.0,No
2023-02-26,005,Sofía Castillo,,,0.0,0.0,Sí
2023-06-14,010,James Rodriguez,09:00,18:30,8.3,0.3000000000000007,No
2023-02-04,005,Sofía Castillo,09:00,18:00,7.1,0.0,No
2023-09-21,010,James Rodriguez,,,0.0,0.0,Sí
2023-09-23,001,Juan Pérez,,,0.0,0.0,Sí
2023-10-17,010,James Rodriguez,,,0.0,0.0,Sí
2023-03-31,010,James Rodriguez,,,0.0,0.0,Sí
2023-04-03,001,Juan Pérez,08:15,18:00,8.5,0.5,No
2023-08-28,003,Carlos Ruiz,08:15,17:30,7.9,0.0,No
2023-07-20,002,Ana Gómez,08:15,18:00,8.1,0.09999999999999964,No
2023-08-12,005,Sofía Castillo,,,0.0,0.0,Sí
2023-08-13,010,James Rodriguez,08:00,17:30,7.6,0.0,No
2023-12-15,002,Ana Gómez,09:00,18:30,7.5,0.0,No
2023-09-17,004,Laura Díaz,09:00,18:30,7.1,0.0,No
2023-06-02,012,Megan Fox,08:15,18:30,8.6,0.5999999999999996,No
2023-08-15,009,Donal Trump,09:00,18:30,8.9,0.9000000000000004,No
2023-07-15,008,Dario Gomez,09:00,18:00,7.2,0.0,No
2023-11-03,011,Esperanza Gomez,,,0.0,0.0,Sí
2023-08-15,008,Dario Gomez,08:00,18:30,7.5,0.0,No
2023-12-26,001,Juan Pérez,08:00,18:30,8.9,0.9000000000000004,No
2023-12-28,004,Laura Díaz,08:15,17:00,8.1,0.09999999999999964,No
2023-03-09,010,James Rodriguez,08:00,17:00,8.7,0.6999999999999993,No
2023-05-19,012,Megan Fox,08:15,17:30,7.5,0.0,No
2023-01-29,002,Ana Gómez,09:00,18:30,7.8,0.0,No
2023-08-01,005,Sofía Castillo,08:15,17:00,7.1,0.0,No
2023-02-13,001,Juan Pérez,08:15,17:00,7.1,0.0,No
2023-12-25,007,Manuel Longas,,,0.0,0.0,Sí
2023-08-05,010,James Rodriguez,08:15,18:00,8.0,0.0,No
2023-07-22,003,Carlos Ruiz,,,0.0,0.0,Sí
2023-09-10,012,Megan Fox,09:00,18:00,7.4,0.0,No
2023-10-23,001,Juan Pérez,09:00,17:00,8.3,0.3000000000000007,No
2023-07-17,012,Megan Fox,09:00,18:00,8.2,0.1999999999999993,No
2023-02-27,010,James Rodriguez,,,0.0,0.0,Sí
2023-01-14,007,Manuel Longas,,,0.0,0.0,Sí
2023-08-12,011,Esperanza Gomez,08:00,18:00,8.4,0.40000000000000036,No
2023-03-17,010,James Rodriguez,09:00,18:00,7.4,0.0,No
2023-11-01,003,Carlos Ruiz,09:00,18:30,8.7,0.6999999999999993,No
2023-07-04,005,Sofía Castillo,08:15,18:30,7.1,0.0,No
2023-03-07,009,Donal Trump,08:15,18:30,7.8,0.0,No
2023-04-09,003,Carlos Ruiz,08:00,18:30,8.3,0.3000000000000007,No
2023-08-29,005,Sofía Castillo,09:00,17:30,7.1,0.0,No
2023-12-15,010,James Rodriguez,08:00,18:30,7.4,0.0,No
2023-12-28,003,Carlos Ruiz,08:00,17:30,8.3,0.3000000000000007,No
2023-09-21,011,Esperanza Gomez,,,0.0,0.0,Sí
2023-12-08,002,Ana Gómez,09:00,17:00,8.4,0.40000000000000036,No
2023-06-12,012,Megan Fox,08:15,18:00,8.4,0.40000000000000036,No
2023-02-27,005,Sofía Castillo,08:00,18:30,8.5,0.5,No
2023-12-10,001,Juan Pérez,,,0.0,0.0,Sí
2023-02-15,005,Sofía Castillo,08:15,17:00,8.6,0.5999999999999996,No
2023-05-30,007,Manuel Longas,08:15,17:30,7.5,0.0,No
2023-12-11,010,James Rodriguez,09:00,17:30,7.2,0.0,No
2023-05-27,008,Dario Gomez,08:00,17:30,7.6,0.0,No
2023-06-05,003,Carlos Ruiz,09:00,18:00,8.5,0.5,No
2023-05-06,009,Donal Trump,08:00,17:00,8.6,0.5999999999999996,No
2023-08-11,012,Megan Fox,08:15,18:30,8.2,0.1999999999999993,No
2023-04-01,009,Donal Trump,,,0.0,0.0,Sí
2023-06-02,003,Carlos Ruiz,08:15,18:30,8.3,0.3000000000000007,No
2023-04-10,010,James Rodriguez,08:00,17:00,8.7,0.6999999999999993,No
2023-05-08,008,Dario Gomez,,,0.0,0.0,Sí
2023-12-02,009,Donal Trump,09:00,18:30,7.0,0.0,No
2023-09-30,005,Sofía Castillo,09:00,18:00,7.9,0.0,No
2023-10-19,002,Ana Gómez,08:15,17:30,8.6,0.5999999999999996,No
2023-06-15,012,Megan Fox,,,0.0,0.0,Sí
2023-01-28,004,Laura Díaz,,,0.0,0.0,Sí
2023-07-07,004,Laura Díaz,08:15,17:30,7.2,0.0,No
2023-12-07,008,Dario Gomez,08:00,18:00,8.2,0.1999999999999993,No
2023-05-02,008,Dario Gomez,09:00,18:00,7.2,0.0,No
2023-01-25,003,Carlos Ruiz,08:15,18:30,7.7,0.0,No
2023-08-18,009,Donal Trump,08:15,17:30,7.5,0.0,No
2023-10-12,003,Carlos Ruiz,,,0.0,0.0,Sí
2023-06-03,010,James Rodriguez,,,0.0,0.0,Sí
2023-08-02,001,Juan Pérez,08:00,17:00,7.4,0.0,No
2023-05-10,008,Dario Gomez,09:00,17:00,8.4,0.40000000000000036,No
2023-08-06,002,Ana Gómez,08:00,18:00,8.1,0.09999999999999964,No
2023-05-30,010,James Rodriguez,08:15,17:00,7.7,0.0,No
2023-09-06,005,Sofía Castillo,,,0.0,0.0,Sí
2023-08-27,011,Esperanza Gomez,09:00,17:00,8.6,0.5999999999999996,No
2023-11-03,012,Megan Fox,,,0.0,0.0,Sí
2023-12-03,003,Carlos Ruiz,,,0.0,0.0,Sí
2023-12-13,007,Manuel Longas,08:15,18:00,8.0,0.0,No
2023-02-17,003,Carlos Ruiz,09:00,18:00,8.9,0.9000000000000004,No
2023-11-27,003,Carlos Ruiz,09:00,18:00,7.5,0.0,No
2023-03-21,008,Dario Gomez,08:15,17:30,8.8,0.8000000000000007,No
2023-02-01,011,Esperanza Gomez,08:15,17:00,7.3,0.0,No
2023-07-26,012,Megan Fox,08:15,18:00,7.9,0.0,No
